,id,x_pos,y_pos,x_yaw,y_yaw
245,5,7.967951728388899,-21.6160590227951,-0.9999789949478008,0.0064814861865474
247,18,-10.310197480993953,0.6979155185772485,-0.9983148453294468,-0.0580299025920483
248,8,-8.683250125605458,28.88187687724109,0.9980711184181336,-0.0620809357176249
249,12,37.23103908171214,7.812078953603647,0.9999971957115446,0.0023682417627433
250,1,-24.71252175551389,8.365829398850062,0.9936682993909746,0.1123535081136698
251,21,-6.016410521027545,35.13360754981699,-0.9964702668128378,0.0839464553030797
252,3,8.119121916584351,-14.135782104652897,0.9760167403743496,0.217695481140582
255,9,-48.25732514601096,8.064929362191286,0.9905798829817708,-0.1369360998123621
256,90,7.980169802434571,10.14673184214564,-0.9820462403474614,0.1886403504540217
262,14,7.583800589890126,15.920459535209147,-0.9988437449583404,0.0480746623243265
263,11,-24.86969946009124,4.161382415789055,0.8982080070524046,0.4395706724372631
264,6,24.809132850439298,0.1287095540496684,0.9920293839880802,0.1260067510264043
265,2,36.80996211187128,3.3211779148153715,0.925523254635984,-0.3786907777171442
266,8,-8.6997455302274,28.939521981183283,0.9946418627757886,-0.1033806791132143
267,4,36.24835537291282,13.858527809716094,-0.9935729353310574,-0.1131937373604496
268,10,45.97513521268968,-0.2836842884604915,-0.9999695519237956,0.0078035392818477
269,18,-10.482036806559568,0.679250133446546,-0.9966987997201938,-0.0811880695442679
270,5,7.782611104445548,-21.617518832124027,-0.9999971468922572,0.0023887669089719
271,7,-16.7067918349899,7.278750082879091,-0.9999662225537318,0.0082191089310534
272,1,-24.682143144304327,8.448678939769023,0.9853714390093816,0.1704204423905206
273,12,37.37103969705248,7.81863456879639,0.9999015045285464,0.0140350005895671
274,21,-6.063619198061669,35.15930382345642,-0.9952317293499549,0.0975387353572838
276,3,8.1915062138202,-14.062483139755871,0.9500031250950582,0.3122403918611799
279,90,7.824464683283698,10.217864572053545,-0.9625222636812418,0.2712026768266455
283,8,-8.714317980864367,29.000720881783067,0.9868421529084016,-0.1616866266674866
284,11,-24.83938340321628,4.263773196470683,0.8095012172774545,0.587118198684319
285,14,7.393121944567925,15.934061823947928,-0.9982248865129668,0.0595573332695038
286,10,45.76052951356134,-0.2798952987062822,-0.9999343431860628,0.0114590277535755
287,7,-16.872678910363906,7.278354870554823,-0.999992835314978,0.0037854086584016
288,4,36.06008476235756,13.816652852235364,-0.9869193927002516,-0.161214491632008
289,2,36.97030237740358,3.2288100337940344,0.8994248418127772,-0.4370754556481761
290,18,-10.670901564709062,0.6596305007424696,-0.995238603583259,-0.0974685689730008
291,6,24.945806933817444,0.1579823102459528,0.988485742265628,0.1513140354943013
